Trinity_geneID	seurat_name	Gene_short_automated	PROST_result	Musser_et_al_2021	Ruperti_et_al_2024	name_type	Zang_et_al_2026	name_source
c100012-g2	c100012-g2 SSC4D (scavenger receptor cysteine rich family, 4 domains) - blastp	Ssc4d	hs-CD5,KIR2DS2,KIR2DS4,KIR2DS3,FCGR2B,KIR2DS5,CD46	NA	NA	symbol	Ssc4d	Gene_short_automated
c100012-g3	c100012-g3 (scavenger receptor cysteine rich domain containing) - emapper OG	scavenger receptor cysteine...	NA	NA	NA	description	scavenger receptor cysteine... I	Gene_short_automated+suffix
c100012-g4	c100012-g2 SSC4D (scavenger receptor cysteine rich family, 4 domains) - blastp	Ssc4d	hs-CD5,KIR2DS2,KIR2DS4,KIR2DS3,FCGR2B,KIR2DS5,CD46	NA	NA	symbol	Ssc4d	Gene_short_automated
c100013-g1	c100013-g1	c100013-g1	NA	NA	NA	trinity_only	c100013-g1	trinity_only
c100013-g2	c100013-g2	c100013-g2	NA	NA	NA	trinity_only	c100013-g2	trinity_only
c100014-g1	c100014-g1	c100014-g1	NA	NA	NA	trinity_only	c100014-g1	trinity_only
c100014-g2	c100014-g2 cdiI, Burkholderia pseudomallei	Cdii*	cdiI, Burkholderia pseudomallei	NA	NA	symbol	Cdii*	Gene_short_automated
c100014-g3	c100014-g3	c100014-g3	NA	NA	NA	trinity_only	c100014-g3	trinity_only
c100014-g4	c100014-g4 bamHIR, Bacillus amyloliquefaciens	Bamhir*	bamHIR, Bacillus amyloliquefaciens	NA	NA	symbol	Bamhir*	Gene_short_automated
c100014-g5	c100014-g5	c100014-g5	NA	NA	NA	trinity_only	c100014-g5	trinity_only
c100015-g1	c100015-g1 LDLRAP1 (low density lipoprotein receptor adaptor protein 1) - emapper OG	Ldlrap1	hs-LDLRAP1,FAM43B,GARIN1B,FAM43A,GARIN1A,GULP1,PLEKHN..	NA	NA	symbol	Ldlrap1	Gene_short_automated
c100016-g1	c100016-g1 1-to-2 MFSD14A,MFSD14B major facilitator superfamily domain containing 14A	Mfsd14a/b	hs-MFSD14A,MFSD14B,SLC22A18,MFSD9,SLC46A1,MFSD5,MFSD1..	NA	NA	symbol	Mfsd14a/b	Gene_short_automated
c100017-g1	c100017-g1	c100017-g1	NA	NA	NA	trinity_only	c100017-g1	trinity_only
c100018-g1	c100018-g1 1-to-1 UPB1 beta-ureidopropionase 1	Upb1	hs-UPB1,NIT1	NA	NA	symbol	Upb1	Gene_short_automated
c100019-g1	c100019-g1 1-to-1 TADA2B transcriptional adaptor 2B	Tada2b	SNRNP59, Arabidopsis thaliana	NA	NA	symbol	Tada2b	Gene_short_automated
c10002-g1	c10002-g1 hs-SPANXN1	Spanxn1*	hs-SPANXN1	NA	NA	symbol	Spanxn1*	Gene_short_automated
c100020-g1	c100020-g1 hs-ZG16	Zg16*	hs-ZG16	NA	NA	symbol	Zg16* C	Gene_short_automated+suffix
c100021-g1	c100021-g1 1-to-1 SLC25A44 solute carrier family 25 member 44	Slc25a44	hs-SLC25A44,SLC25A21,SLC25A22,SLC25A20,SLC25A32,SLC25..	NA	NA	symbol	Slc25a44	Gene_short_automated
c100022-g1	c100022-g1 RXLR78, Plasmopara viticola	Rxlr78*	RXLR78, Plasmopara viticola	NA	NA	symbol	Rxlr78*	Gene_short_automated
c100023-g1	c100023-g1 (Spastic ataxia of Charlevoix-Saguenay (Sacsin)) - emapper OG	Sacsin	NA	NA	NA	description	Sacsin	Gene_short_automated
c100024-g1	c100024-g1 (Pyruvate phosphate dikinase, PEP/pyruvate binding domain) - emapper OG	Pyruvate phosphate dikinase...	pigC, Serratia marcescens	NA	NA	description	Pyruvate phosphate dikinase...	Gene_short_automated
c100025-g1	c100025-g1 1-to-1 BTAF1 B-TFIID TATA-box binding protein associated factor 1	Btaf1	NA	NA	NA	symbol	Btaf1	Gene_short_automated
c100026-g1	c100026-g1 1-to-1 DNM1L dynamin 1 like	Dnm1l	hs-MX1,MX2,SEPTIN14,EHD4,SRL,NUGGC,EHD3,SEPTIN10,EHD1..	NA	NA	symbol	Dnm1l	Gene_short_automated
c100026-g2	c100026-g1 1-to-1 DNM1L dynamin 1 like	Dnm1l	hs-MX1,MX2,SEPTIN14,EHD4,SRL,NUGGC,EHD3,SEPTIN10,EHD1..	NA	NA	symbol	Dnm1l	Gene_short_automated
c100027-g1	c100027-g1 LOXL4 (scavenger receptor activity) - emapper OG	Loxl4	NA	NA	NA	symbol	Loxl4	Gene_short_automated
c100027-g2	c100027-g2	c100027-g2	NA	NA	NA	trinity_only	c100027-g2	trinity_only
c100028-g1	c100028-g1	c100028-g1	NA	NA	NA	trinity_only	c100028-g1	trinity_only
c100029-g1	c100029-g1 (Inherit from KOG: F-box and leucine-rich repeat protein) - emapper OG	F-box and leucine-rich repe...	hs-LRRC73,AMN1,RNH1,RSU1	F-box and leucine-rich repeat protein	NA	description	F-box and leucine-rich repeat protein	reviewed
c100029-g2	c100029-g1 (Inherit from KOG: F-box and leucine-rich repeat protein) - emapper OG	F-box and leucine-rich repe...	hs-LRRC73,AMN1,RNH1,RSU1	F-box and leucine-rich repeat protein	NA	description	F-box and leucine-rich repeat protein	reviewed
c100030-g1	c100030-g1 2-to-3 MCOLN1,MCOLN3,MCOLN2 mucolipin 1	Mcoln1/2/3	pacc1, Xenopus tropicalis	NA	NA	symbol	Mcoln1/2/3	Gene_short_automated
c100030-g2	c100030-g1 2-to-3 MCOLN1,MCOLN3,MCOLN2 mucolipin 1	Mcoln1/2/3	pacc1, Xenopus tropicalis	NA	NA	symbol	Mcoln1/2/3	Gene_short_automated
c100031-g1	c100031-g1 1-to-1 FYCO1 FYVE and coiled-coil domain containing 1	Fyco1	hs-IKBKG,RUFY2,RNF20	NA	NA	symbol	Fyco1	Gene_short_automated
c100032-g1	c100032-g1	c100032-g1	NA	NA	NA	trinity_only	c100032-g1	trinity_only
c100032-g2	c100032-g2	c100032-g2	NA	NA	NA	trinity_only	c100032-g2	trinity_only
c100033-g1	c100033-g1 CPS1 (carbamoylphosphate synthase) - emapper OG	Cps1	hs-OPN5,LPAR3,GPR45,LPAR2,GPR150,GPR22,GPR160,NPY1R,S..	NA	NA	symbol	Cps1	Gene_short_automated
c100034-g1	c100034-g1	c100034-g1	NA	NA	NA	trinity_only	c100034-g1	trinity_only
c100034-g2	c100034-g2	c100034-g2	NA	NA	NA	trinity_only	c100034-g2	trinity_only
c100034-g3	c100034-g3	c100034-g3	NA	NA	NA	trinity_only	c100034-g3	trinity_only
c100034-g4	c100034-g4	c100034-g4	NA	NA	NA	trinity_only	c100034-g4	trinity_only
c100035-g1	c100035-g1	c100035-g1	NA	NA	NA	trinity_only	c100035-g1	trinity_only
c100035-g2	c100035-g2	c100035-g2	NA	NA	NA	trinity_only	c100035-g2	trinity_only
c100036-g1	c100036-g1 RXT3, Saccharomyces cerevisiae (strain ATCC 204508..	Rxt3*	RXT3, Saccharomyces cerevisiae (strain ATCC 204508..	NA	NA	symbol	Rxt3*	Gene_short_automated
c100036-g2	c100036-g2	c100036-g2	NA	NA	NA	trinity_only	c100036-g2	trinity_only
c100036-g3	c100036-g3	c100036-g3	NA	NA	NA	trinity_only	c100036-g3	trinity_only
c100037-g1	c100037-g1 (ADP-ribosylglycohydrolase) - emapper OG	ADP-ribosylglycohydrolase	hs-ADPRH,ADPRHL1	NA	NA	description	ADP-ribosylglycohydrolase	Gene_short_automated
c100038-g1	c100038-g1 hs-CENPU	Cenpu*	hs-CENPU	NA	NA	symbol	Cenpu*	Gene_short_automated
c100038-g2	c100038-g2	c100038-g2	NA	NA	NA	trinity_only	c100038-g2	trinity_only
c100039-g1	c100039-g1 (protein phosphatase 1, regulatory subunit) - emapper OG	protein phosphatase 1, regu...	ANKRD65, Bos taurus	NA	NA	description	protein phosphatase 1, regu...	Gene_short_automated
c100040-g1	c100040-g1 1-to-1 UBE2Z ubiquitin conjugating enzyme E2 Z	Ube2z	hs-UBE2T,UBE2S,CDC34,UBE2J2,UBE2R2,UBE2K,UBE2H,UBE2G2..	NA	NA	symbol	Ube2z	Gene_short_automated
c100041-g1	c100041-g1 1-to-1 PPIL3 peptidylprolyl isomerase like 3	Ppil3	hs-PPIL3,PPIL1,PPIAL4G,PPIAL4H,PPIAL4A,PPIA,PPIAL4C,P..	NA	NA	symbol	Ppil3	Gene_short_automated
c100042-g1	c100042-g1	c100042-g1	NA	NA	NA	trinity_only	c100042-g1	trinity_only
c100042-g2	c100042-g2	c100042-g2	NA	NA	NA	trinity_only	c100042-g2	trinity_only
c100042-g3	c100042-g3	c100042-g3	NA	NA	NA	trinity_only	c100042-g3	trinity_only
c100043-g1	c100043-g1 (Poly(ADP-ribose) polymerase catalytic domain) - emapper OG	ADP-ribose	IIV6-100L, Invertebrate iridescent virus 6	NA	NA	description	ADP-ribose F	Gene_short_automated+suffix
c100044-g1	c100044-g1 5-to-3 EPHA4,EPHA3,EPHA6 EPH receptor A4	Epha3/4/6	TK, Geodia cydonium	EphA/B I Ephrin Receptor	NA	symbol	Epha/b I	reviewed
c100044-g2	c100044-g2 (Eph receptor) - emapper OG	Eph receptor	NA	EphA/B G Ephrin Receptor	NA	symbol	Epha/b G	reviewed
c100044-g3	c100044-g3	c100044-g3	NA	NA	NA	trinity_only	c100044-g3	trinity_only
c100045-g1	c100045-g1 (ribosomal protein s6 kinase) - emapper OG	ribosomal protein s6 kinase	hs-RPS6KB2,SGK2,RPS6KB1,STK32C,STK32B,STK32A,PDPK2P,C..	NA	NA	description	ribosomal protein s6 kinase	Gene_short_automated
c100046-g1	c100046-g1	c100046-g1	NA	NA	NA	trinity_only	c100046-g1	trinity_only
c100047-g1	c100047-g1 RAB22A (RAB22A, member RAS oncogene family) - emapper OG	Rab22a	hs-RAB22A,RAB31,RAB7A,RAB1C,RAB1B,RAB6B,RAB24,RAB18,R..	NA	NA	symbol	Rab22a	Gene_short_automated
c100048-g1	c100048-g1 (26S protease regulatory subunit) - emapper OG	26S protease regulatory sub...	hs-PSMC1,PSMC3,PSMC2,PSMC4,PSMC5,SPAST,KATNA1,KATNAL2..	NA	NA	description	26S protease regulatory sub...	Gene_short_automated
c100049-g1	c100049-g1 (multicellular organismal development) - emapper OG	multicellular organismal de...	NA	NA	NA	description	multicellular organismal de... I	Gene_short_automated+suffix
c100050-g1	c100050-g1 (Fibronectin type III domain) - emapper OG	Fibronectin type III domain	NA	NA	NA	description	Fibronectin type III domain	Gene_short_automated
c100051-g1	c100051-g1 STX7 (syntaxin 7) - blastp	Stx7	hs-STX8,STX7,STX6,STX10,STX12,VTI1B,VTI1A,RGS9BP,GOSR..	NA	NA	symbol	Stx7	Gene_short_automated
c100052-g1	c100052-g1 RNF213 (ring finger protein 213) - blastp	Rnf213	NA	NA	NA	symbol	Rnf213 D	Gene_short_automated+suffix
c100052-g2	c100052-g1 RNF213 (ring finger protein 213) - blastp	Rnf213	NA	NA	NA	symbol	Rnf213 D	Gene_short_automated+suffix
c100052-g3	c100052-g1 RNF213 (ring finger protein 213) - blastp	Rnf213	NA	NA	NA	symbol	Rnf213 D	Gene_short_automated+suffix
c100053-g1	c100053-g1 SCP, Saimiriine herpesvirus 2 (strain 11)	Scp*	SCP, Saimiriine herpesvirus 2 (strain 11)	NA	NA	symbol	Scp* B	Gene_short_automated+suffix
c100053-g2	c100053-g2 3-to-2 CASP2,CASP1 caspase 2	Casp1/2	NA	NA	NA	symbol	Casp1/2	Gene_short_automated
c100054-g1	c100054-g1	c100054-g1	NA	NA	NA	trinity_only	c100054-g1	trinity_only
c100054-g2	c100054-g2	c100054-g2	NA	NA	NA	trinity_only	c100054-g2	trinity_only
c100054-g3	c100054-g3	c100054-g3	NA	NA	NA	trinity_only	c100054-g3	trinity_only
c100054-g4	c100054-g4	c100054-g4	NA	NA	NA	trinity_only	c100054-g4	trinity_only
c100054-g5	c100054-g5	c100054-g5	NA	NA	NA	trinity_only	c100054-g5	trinity_only
c100055-g1	c100055-g1	c100055-g1	NA	NA	NA	trinity_only	c100055-g1	trinity_only
c100055-g2	c100055-g2 RBMXL3, Pan troglodytes	Rbmxl3*	RBMXL3, Pan troglodytes	NA	NA	symbol	Rbmxl3*	Gene_short_automated
c100056-g1	c100056-g1 1-to-1 JMJD6 arginine demethylase and lysine hydroxylase	Jmjd6	hs-JMJD6,TYW5,JMJD4,HIF1AN,JMJD7,HSPBAP1	NA	NA	symbol	Jmjd6	Gene_short_automated
c100056-g2	c100056-g2 (Inherit from KOG: Transient receptor potential cation channel subfamily A member) - emapper OG	Transient receptor potentia...	ywoF, Bacillus subtilis (strain 168)	NA	NA	description	Transient receptor potentia... K	Gene_short_automated+suffix
c100057-g1	c100057-g1 (L1 transposable element) - emapper OG	L1 transposable element	hs-C4orf46,TEX12	NA	NA	description	L1 transposable element	Gene_short_automated
c100058-g1	c100058-g1 FIS1 (fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)) - emapper OG	Fis1	hs-TEC,ITK,BTK,BMX,ZAP70,FRK,SYK,PTK6,CSK,MATK,PAK3,S..	NA	NA	symbol	Fis1	Gene_short_automated
c100059-g1	c100059-g1 ras, Limanda limanda	Ras*	ras, Limanda limanda	NA	NA	symbol	Ras*	Gene_short_automated
c100060-g1	c100060-g1 1-to-1 CSTF3 cleavage stimulation factor subunit 3	Cstf3	hs-XAB2,PRPF39,CSTF3,UTP6	NA	NA	symbol	Cstf3	Gene_short_automated
c100060-g2	c100060-g1 1-to-1 CSTF3 cleavage stimulation factor subunit 3	Cstf3	hs-XAB2,PRPF39,CSTF3,UTP6	NA	NA	symbol	Cstf3	Gene_short_automated
c100061-g1	c100061-g1 1-to-4 JPH3,JPH1,JPH2,JPH4 junctophilin 3	Jph1/2/3/4	hs-RSPH1,JPH4	NA	NA	symbol	Jph1/2/3/4	Gene_short_automated
c100061-g2	c100061-g1 1-to-4 JPH3,JPH1,JPH2,JPH4 junctophilin 3	Jph1/2/3/4	hs-RSPH1,JPH4	NA	NA	symbol	Jph1/2/3/4	Gene_short_automated
c100062-g1	c100023-g1 (Spastic ataxia of Charlevoix-Saguenay (Sacsin)) - emapper OG	Sacsin	NA	NA	NA	description	Sacsin	Gene_short_automated
c100063-g1	c100063-g1 1-to-1 LTA4H leukotriene A4 hydrolase	Lta4h	hs-LTA4H,RNPEP,RNPEPL1,AOPEP,NPEPPS,LVRN,LNPEP,TRHDE,..	NA	NA	symbol	Lta4h	Gene_short_automated
c100064-g1	c100064-g1	c100064-g1	NA	NA	NA	trinity_only	c100064-g1	trinity_only
c100064-g2	c100064-g2	c100064-g2	NA	NA	NA	trinity_only	c100064-g2	trinity_only
c100065-g1	c100065-g1	c100065-g1	NA	NA	NA	trinity_only	c100065-g1	trinity_only
c100066-g1	c100066-g1 HMCN1 (G2F domain) - emapper OG	Hmcn1	Cd200r3, Mus musculus	NA	NA	symbol	Hmcn1	Gene_short_automated
c100066-g2	c100066-g2	c100066-g2	NA	NA	NA	trinity_only	c100066-g2	trinity_only
c100066-g3	c100066-g3	c100066-g3	NA	NA	NA	trinity_only	c100066-g3	trinity_only
c100066-g4	c100066-g4 (Protein Tyrosine Phosphatase) - emapper OG	Protein Tyrosine Phosphatase	hs-PTPN5,PTPRR	NA	NA	description	Protein Tyrosine Phosphatase	Gene_short_automated
c100067-g1	c100067-g1 MAPKBP1 (mitogen-activated protein kinase binding protein 1) - blastp	Mapkbp1	NA	NA	NA	symbol	Mapkbp1	Gene_short_automated
c100067-g2	c100067-g1 MAPKBP1 (mitogen-activated protein kinase binding protein 1) - blastp	Mapkbp1	NA	NA	NA	symbol	Mapkbp1	Gene_short_automated
c100068-g1	c100068-g1 hs-ZNF702P,ZNF833P,ZNF80	Znf702p*	hs-ZNF702P,ZNF833P,ZNF80	NA	NA	symbol	Znf702p*	Gene_short_automated
c100068-g2	c100068-g2	c100068-g2	NA	NA	NA	trinity_only	c100068-g2	trinity_only
c100068-g3	c100068-g3	c100068-g3	NA	NA	NA	trinity_only	c100068-g3	trinity_only
c100068-g4	c100068-g4	c100068-g4	NA	NA	NA	trinity_only	c100068-g4	trinity_only
c100068-g5	c100068-g5	c100068-g5	NA	NA	NA	trinity_only	c100068-g5	trinity_only
c100068-g6	c100068-g6 1-to-12 ZNF235,ZNF91,ZNF431,ZNF92... zinc finger protein 235	Znf91/92/235/431	hs-ZNF702P	NA	NA	symbol	Znf91/92/235/431	Gene_short_automated
c100069-g1	c100069-g1 1-to-1 CTSO cathepsin O	Ctso	hs-CTSK,CTSS,CTSV,CTSO,CTSL,CTSH,CTSW,CTSB,CTSZ,TINAG..	Cathepsin O	NA	symbol	Ctso	reviewed
c100070-g1	c100070-g1	c100070-g1	NA	NA	NA	trinity_only	c100070-g1	trinity_only
c100071-g1	c100071-g1 1-to-2 NME8,NME9 NME/NM23 family member 8	Nme8/9	hs-NME8,NME9	NA	NA	symbol	Nme8/9	Gene_short_automated
c100072-g1	c100072-g1 1-to-1 C17orf62 chromosome 17 open reading frame 62	C17orf62	hs-CYBC1,TMEM249,PIGH	NA	NA	symbol	C17orf62	Gene_short_automated
c100072-g2	c100072-g1 1-to-1 C17orf62 chromosome 17 open reading frame 62	C17orf62	hs-CYBC1,TMEM249,PIGH	NA	NA	symbol	C17orf62	Gene_short_automated
c100073-g1	c100073-g1	c100073-g1	NA	NA	NA	trinity_only	c100073-g1	trinity_only
c100073-g2	c100073-g2	c100073-g2	NA	NA	NA	trinity_only	c100073-g2	trinity_only
c100074-g1	c100074-g1 1-to-1 MRPS23 mitochondrial ribosomal protein S23	Mrps23	hs-MRPL52,UQCRB	NA	NA	symbol	Mrps23	Gene_short_automated
c100075-g1	c100075-g1 1-to-1 PCID2 PCI domain containing 2	Pcid2	hs-PCID2,COPS3,PSMD6,PSMD11,PSMD13,PSMD3,GPS1,COPS4,E..	NA	NA	symbol	Pcid2	Gene_short_automated
c100075-g2	c100075-g2 Ahsp, Mus musculus	Ahsp*	Ahsp, Mus musculus	NA	NA	symbol	Ahsp*	Gene_short_automated
c100076-g1	c100076-g1	c100076-g1	NA	NA	NA	trinity_only	c100076-g1	trinity_only
c100076-g2	c100076-g2 1-to-1 SAP30BP SAP30 binding protein	Sap30bp	hs-SAP30BP	NA	NA	symbol	Sap30bp	Gene_short_automated
c100077-g1	c100077-g1	c100077-g1	NA	NA	NA	trinity_only	c100077-g1	trinity_only
c100077-g2	c100077-g1	c100077-g1	NA	NA	NA	trinity_only	c100077-g1	Gene_short_automated
c100077-g3	c100077-g3 gN, Varicella-zoster virus (strain Oka vaccine)	Gn*	gN, Varicella-zoster virus (strain Oka vaccine)	NA	NA	symbol	Gn*	Gene_short_automated
c100078-g1	c100078-g1	c100078-g1	NA	NA	NA	trinity_only	c100078-g1	trinity_only
c100078-g2	c100078-g2 hs-RDUR	Rdur*	hs-RDUR	NA	NA	symbol	Rdur*	Gene_short_automated
c100078-g3	c100078-g3	c100078-g3	NA	NA	NA	trinity_only	c100078-g3	trinity_only
c100078-g4	c100078-g4	c100078-g4	NA	NA	NA	trinity_only	c100078-g4	trinity_only
c100079-g1	c100079-g1 1-to-2 SIAH2,SIAH3 siah E3 ubiquitin protein ligase 2	Siah2/3	hs-SIAH1,SIAH2,ZFTRAF1,SIAH3,TRAF6	NA	NA	symbol	Siah2/3	Gene_short_automated
c100080-g1	c100080-g1 9-to-1 USH2A usherin	Ush2a	NA	NA	NA	symbol	Ush2a	Gene_short_automated
c100080-g2	c100080-g2 1-to-1 USH2A usherin	Ush2a	NA	NA	NA	symbol	Ush2a	Gene_short_automated
c100081-g1	c100081-g1 1-to-1 GRAMD1B GRAM domain containing 1B	Gramd1b	hs-GRAMD1B,GRAMD1A,GRAMD1C	NA	NA	symbol	Gramd1b	Gene_short_automated
c100082-g1	c100082-g1 hs-DOK1,DOK2,DOK6,PLEKHN1,DOK7,DOK3	Dok1*	hs-DOK1,DOK2,DOK6,PLEKHN1,DOK7,DOK3	NA	NA	symbol	Dok1*	Gene_short_automated
c100083-g1	c100083-g1 1-to-1 MADD MAP kinase activating death domain	Madd	STS1, Yarrowia lipolytica (strain CLIB 122 / E 150..	NA	NA	symbol	Madd	Gene_short_automated
c100083-g2	c100083-g2 EZR, Mesocricetus auratus	Ezr*	EZR, Mesocricetus auratus	NA	NA	symbol	Ezr*	Gene_short_automated
c100084-g1	c100084-g1	c100084-g1	NA	NA	NA	trinity_only	c100084-g1	trinity_only
c100085-g1	c100085-g1 1-to-1 MCM3 minichromosome maintenance complex component 3	Mcm3	hs-MCM5,MCM7,MCM8,MCMDC2	NA	NA	symbol	Mcm3	Gene_short_automated
c100086-g1	c100086-g1 dm-Os-C	Os-c*	dm-Os-C	NA	NA	symbol	Os-c*	Gene_short_automated
c100087-g1	c100087-g1 mde1, Schizosaccharomyces pombe (strain 972 / ATCC..	Mde1*	mde1, Schizosaccharomyces pombe (strain 972 / ATCC..	NA	NA	symbol	Mde1*	Gene_short_automated
c100088-g1	c100088-g1 2-to-1	c100088-g1	hs-PTPRT,PTPRM,PTPRK,PTPRU,PTPRC,PTPRG	NA	NA	trinity_only	c100088-g1	trinity_only
c100089-g1	c100089-g1 1-to-1 PRPF19 pre-mRNA processing factor 19	Prpf19	hs-PRPF19,ATG16L1,TAF5L,ATG16L2,TBL1X,TLE6,PRPF4,SMU1..	NA	NA	symbol	Prpf19	Gene_short_automated
c100090-g1	c100090-g1 (protein kinase kinase kinase) - emapper OG	protein kinase kinase kinase	PK2, Autographa californica nuclear polyhedrosis v..	NA	NA	description	protein kinase kinase kinase	Gene_short_automated
c100091-g1	c100091-g1 1-to-1 WDR43 WD repeat domain 43	Wdr43	hs-WIPI1,WDR4,WDR18,CORO2B,CORO1C,WDR74,CORO1A,CORO6,..	NA	NA	symbol	Wdr43	Gene_short_automated
c100092-g1	c100092-g1	c100092-g1	NA	NA	NA	trinity_only	c100092-g1	trinity_only
c100092-g2	c100092-g2 1-to-1 TEX2 testis expressed 2	Tex2	NA	NA	NA	symbol	Tex2	Gene_short_automated
c100093-g1	c100093-g1 1-to-1 HAL histidine ammonia-lyase	Hal	PALG4, Populus kitakamiensis	NA	NA	symbol	Hal	Gene_short_automated
c100094-g1	c100094-g1 1-to-1 ZFYVE1 zinc finger FYVE-type containing 1	Zfyve1	AL1, Arabidopsis thaliana	NA	NA	symbol	Zfyve1	Gene_short_automated
c100095-g1	c100095-g1 dm-GlcAT-I	Glcat-i*	dm-GlcAT-I	NA	NA	symbol	Glcat-i*	Gene_short_automated
c100095-g2	c100095-g2	c100095-g2	NA	NA	NA	trinity_only	c100095-g2	trinity_only
c100096-g1	c100096-g1 1-to-1 SCCPDH saccharopine dehydrogenase (putative)	Sccpdh	hs-SCCPDH	NA	NA	symbol	Sccpdh	Gene_short_automated
c100097-g1	c100097-g1 (Jacalin) - emapper OG	Jacalin	hs-ZG16	NA	NA	description	Jacalin	Gene_short_automated
c100098-g1	c100098-g1 EHBP1 (EH domain binding protein) - emapper OG	Ehbp1	hs-EHBP1	NA	NA	symbol	Ehbp1	Gene_short_automated
c100098-g2	c100098-g1 EHBP1 (EH domain binding protein) - emapper OG	Ehbp1	hs-EHBP1	NA	NA	symbol	Ehbp1	Gene_short_automated
c100099-g1	c100099-g1 1-to-1 TFG TRK-fused gene	Tfg	BAG3, Arabidopsis thaliana	NA	NA	symbol	Tfg	Gene_short_automated
c100099-g2	c100099-g2 Mapk1ip1l, Mus musculus	Mapk1ip1l*	Mapk1ip1l, Mus musculus	NA	NA	symbol	Mapk1ip1l*	Gene_short_automated
