length	gene_names
1887	c100219-g2
1419	c100220-g1
1435	c100221-g1
1033	c100222-g1
713	c100222-g2
6091	c100223-g1
247	c100224-g1
718	c100224-g2
925	c100225-g1
1188	c100226-g1
522	c100227-g1
608	c100227-g2
716	c100228-g1
467	c100229-g1
613	c100229-g2
311	c100230-g1
1035	c100231-g1
207	c100232-g1
372	c100232-g2
285	c100232-g3
448	c100232-g4
299	c100232-g5
265	c100233-g1
2728	c100233-g2
521	c100234-g1
3622	c100235-g1
1306	c100236-g1
1009	c100237-g1
798	c100238-g1
237	c100239-g1
565	c100239-g2
265	c100239-g3
220	c100240-g1
436	c100240-g2
6849	c100240-g3
353	c100241-g1
4063	c100241-g2
1562	c100242-g1
945	c100243-g1
686	c100244-g1
1148	c100244-g2
1192	c100245-g1
1201	c100246-g1
267	c100247-g1
629	c100248-g1
258	c100249-g1
251	c100249-g2
221	c100250-g1
205	c100250-g2
2717	c100251-g1
2807	c100252-g1
1421	c100253-g1
7799	c100253-g2
3293	c100254-g1
223	c100255-g1
690	c100255-g2
463	c100255-g3
667	c100256-g1
298	c100257-g1
1028	c100257-g2
266	c100258-g1
342	c100258-g2
4086	c100259-g1
719	c100259-g2
222	c100260-g1
2591	c100260-g2
211	c100261-g1
567	c100261-g2
222	c100261-g3
878	c100262-g1
911	c100262-g2
599	c100263-g1
368	c100265-g1
219	c100266-g1
245	c100266-g2
240	c100266-g3
294	c100266-g4
530	c100267-g1
206	c100268-g1
1071	c100268-g2
238	c100269-g1
1534	c100269-g2
242	c100270-g1
1946	c100270-g2
952	c100270-g3
2730	c100271-g1
575	c100272-g1
223	c100273-g1
746	c100274-g1
617	c100275-g1
543	c100275-g2
851	c100276-g1
436	c100277-g1
209	c100277-g2
526	c100278-g1
711	c100278-g2
713	c100279-g1
303	c100279-g2
668	c100280-g1
3477	c100281-g1
527	c100281-g2
1812	c100282-g1
226	c100283-g1
289	c100284-g1
553	c100285-g1
1260	c100286-g1
1220	c100287-g1
2420	c100288-g1
283	c100288-g3
782	c100289-g1
12407	c100290-g1
203	c100291-g1
235	c100291-g2
317	c100291-g3
569	c100292-g1
884	c100293-g1
1295	c100294-g1
1465	c100295-g1
937	c100296-g1
2752	c100296-g2
704	c100297-g1
371	c100297-g2
256	c100298-g1
661	c100298-g2
238	c100298-g3
931	c100299-g1
1914	c100300-g1
945	c100301-g1
658	c100302-g1
686	c100302-g2
315	c100303-g1
208	c100303-g2
877	c100304-g1
868	c100305-g1
1854	c100306-g1
758	c100307-g1
1934	c100308-g1
1571	c100308-g2
917	c100309-g1
654	c100310-g1
653	c100311-g1
916	c100312-g1
400	c100312-g2
851	c100313-g1
1050	c100313-g2
1476	c100314-g1
569	c100315-g1
380	c100315-g2
2158	c100316-g1
2258	c100317-g1
9911	c100318-g1
937	c100319-g1
1355	c100319-g2
239	c100320-g1
339	c100320-g2
206	c100320-g3
971	c100321-g1
820	c100322-g1
1447	c100323-g1
899	c100324-g1
372	c100324-g2
232	c100324-g3
1513	c100324-g4
1323	c100325-g1
1451	c100326-g1
1847	c100327-g1
310	c100328-g1
334	c100328-g2
409	c100328-g3
375	c100328-g4
1111	c100329-g1
2193	c100330-g1
217	c100331-g1
969	c100331-g2
831	c100332-g1
483	c100332-g2
1761	c100333-g1
818	c100334-g1
1105	c100335-g1
1929	c100336-g1
1180	c100336-g2
3953	c100337-g1
211	c100338-g1
481	c100339-g1
2232	c100340-g1
661	c100341-g1
559	c100341-g2
1098	c100343-g1
1285	c100344-g1
2726	c100345-g1
728	c100346-g1
2283	c100347-g1
2153	c100348-g1
1056	c100349-g1
764	c100350-g1
692	c100351-g1
245	c100351-g2
1021	c100352-g1
670	c100352-g2
1881	c100353-g1
5627	c100354-g1
304	c100355-g1
743	c100355-g2
310	c100356-g1
1004	c100356-g2
763	c100357-g1
635	c100358-g1
543	c100359-g1
1200	c100359-g2
518	c100359-g3
312	c10035-g1
1584	c100360-g1
309	c100361-g1
212	c100361-g2
271	c100361-g3
232	c100361-g4
2066	c100362-g1
232	c100362-g2
405	c100363-g1
867	c100364-g1
204	c100365-g1
230	c100365-g2
2175	c100365-g3
271	c100366-g1
889	c100366-g2
817	c100367-g1
595	c100368-g1
394	c100369-g1
819	c100370-g1
214	c100370-g2
373	c100370-g3
1326	c100371-g1
424	c100372-g1
2740	c100373-g1
1304	c100374-g1
1467	c100375-g1
760	c100375-g2
354	c100376-g1
4374	c100377-g1
227	c100378-g1
319	c100378-g2
2108	c100379-g1
565	c100380-g1
369	c100380-g2
383	c100381-g1
895	c100381-g2
309	c100381-g3
1027	c100382-g1
1605	c100383-g1
1279	c100384-g1
343	c100385-g1
3111	c100385-g2
207	c100386-g1
2860	c100386-g2
248	c100386-g3
204	c100387-g1
480	c100388-g1
911	c100388-g2
2652	c100389-g1
2739	c100390-g1
1140	c100391-g1
230	c100391-g2
201	c100391-g3
584	c100392-g1
2675	c100393-g1
1353	c100394-g1
778	c100395-g1
706	c100396-g1
232	c100397-g1
1937	c100397-g2
629	c100398-g1
2923	c100399-g1
910	c100400-g1
737	c100401-g1
254	c100402-g1
439	c100402-g2
1634	c100403-g1
243	c100404-g1
224	c100404-g2
2323	c100405-g1
4100	c100406-g1
575	c100408-g1
1983	c100409-g1
1133	c100410-g1
4649	c100411-g1
12872	c100412-g1
738	c100413-g1
427	c100414-g1
983	c100415-g1
3305	c100416-g1
1684	c100417-g1
305	c100417-g2
474	c100418-g1
839	c100419-g1
1124	c100420-g1
208	c100421-g1
2158	c100421-g2
653	c100422-g1
766	c100423-g1
1643	c100424-g1
432	c100425-g1
2727	c100426-g1
1058	c100427-g1
305	c100428-g1
413	c100428-g2
1729	c100428-g3
3473	c100428-g4
239	c100429-g1
848	c100430-g1
255	c100431-g1
237	c100431-g2
278	c100432-g1
358	c100432-g2
1097	c100433-g1
759	c100433-g2
2459	c100434-g1
4768	c100434-g2
1400	c100435-g1
2106	c100436-g1
879	c100437-g1
650	c100438-g1
549	c100439-g1
412	c100440-g1
328	c100440-g2
427	c100441-g1
460	c100442-g1
275	c100443-g1
213	c100443-g2
1108	c100444-g1
581	c100445-g1
1190	c100446-g1
222	c100446-g2
470	c100447-g1
1635	c100448-g1
1283	c100449-g1
1194	c100450-g1
503	c100451-g1
7074	c100452-g1
3401	c100453-g1
249	c100453-g2
894	c100454-g1
1109	c100455-g1
274	c100456-g1
6448	c100456-g2
399	c100456-g4
1340	c100456-g6
1535	c100457-g1
515	c100458-g1
822	c100459-g1
2249	c100460-g1
342	c100461-g1
1527	c100462-g1
828	c100463-g1
945	c100464-g1
1026	c100465-g1
375	c100466-g1
1718	c100466-g2
612	c100467-g1
1487	c100468-g1
1373	c100469-g1
342	c100470-g1
486	c100470-g2
407	c100470-g3
3653	c100471-g1
2014	c100472-g1
820	c100473-g1
2268	c100474-g1
731	c100475-g1
313	c100476-g1
305	c100476-g2
1233	c100476-g3
209	c100476-g4
1078	c100477-g1
311	c100478-g1
1101	c100479-g1
566	c100480-g1
2561	c100480-g2
1169	c100480-g3
338	c100480-g4
247	c100480-g5
291	c100480-g6
2188	c100481-g1
714	c100482-g1
1234	c100483-g1
1436	c100484-g1
816	c100485-g1
362	c100485-g2
296	c100485-g3
1381	c100486-g1
218	c100488-g1
203	c100488-g2
1097	c100489-g1
7741	c100490-g1
2440	c100491-g1
924	c100492-g1
1509	c100493-g1
211	c100494-g1
490	c100495-g1
1652	c100496-g1
1363	c100497-g1
2649	c100498-g1
564	c100498-g2
1020	c100499-g1
2068	c100500-g1
1759	c100501-g1
1454	c100501-g3
252	c100502-g1
993	c100503-g1
1035	c100504-g1
225	c100504-g2
1262	c100505-g1
597	c100506-g1
237	c100506-g2
743	c100506-g3
277	c100506-g4
1099	c100508-g1
553	c100509-g1
1698	c100510-g1
1106	c100511-g1
640	c100512-g1
342	c100513-g1
221	c100513-g2
1038	c100514-g1
4365	c100515-g1
643	c100516-g1
619	c100517-g1
1807	c100518-g1
872	c100519-g1
2177	c100520-g1
1891	c100521-g1
659	c100522-g1
351	c100522-g2
370	c100522-g3
318	c100523-g1
219	c100523-g2
1048	c100523-g3
816	c100523-g4
606	c100524-g1
265	c100524-g2
2610	c100525-g1
235	c100526-g1
1168	c100527-g1
1257	c100528-g1
707	c100529-g1
259	c10052-g1
1853	c100530-g1
426	c100530-g3
690	c100531-g1
7312	c100532-g1
5040	c100533-g1
224	c100533-g2
229	c100533-g3
235	c100533-g5
938	c100533-g6
745	c100533-g7
317	c100534-g1
244	c100534-g2
1090	c100535-g1
6856	c100536-g1
8977	c100537-g1
1998	c100538-g1
488	c100538-g2
203	c100539-g1
3712	c100540-g1
1465	c100541-g1
291	c100542-g1
241	c100542-g2
1137	c100543-g1
404	c100543-g2
296	c100544-g1
2160	c100545-g1
686	c100546-g1
293	c100547-g1
426	c100547-g2
272	c100547-g3
2066	c100548-g1
582	c100549-g1
2647	c100550-g1
1190	c100550-g2
1292	c100550-g3
1608	c100551-g1
453	c100552-g1
211	c100553-g1
613	c100554-g1
733	c100555-g1
600	c100556-g1
514	c100557-g1
236	c100557-g2
1681	c100558-g1
388	c100559-g1
1699	c100559-g2
305	c100560-g1
259	c100560-g2
1468	c100560-g3
555	c100561-g1
1996	c100562-g1
610	c100563-g1
420	c100565-g1
1613	c100566-g1
245	c100566-g2
1020	c100567-g1
225	c100568-g1
228	c100568-g2
289	c100568-g3
2043	c100569-g1
302	c100569-g3
2028	c100570-g1
604	c100571-g1
1775	c100572-g1
404	c100573-g1
907	c100574-g1
558	c100575-g1
229	c100576-g1
869	c100577-g1
1322	c100578-g1
2384	c100579-g1
2242	c100579-g2
735	c100580-g1
252	c100580-g2
1089	c100580-g3
5711	c100581-g1
574	c100581-g2
1598	c100581-g3
2688	c100582-g1
266	c100582-g2
1495	c100583-g1
210	c100583-g2
599	c100584-g1
692	c100584-g2
412	c100584-g3
328	c100585-g1
604	c100585-g2
3231	c100586-g1
5084	c100588-g1
205	c100588-g2
956	c100589-g1
679	c100590-g1
539	c100591-g1
1234	c100592-g1
3200	c100593-g1
1133	c100594-g1
1023	c100595-g1
343	c100596-g1
3793	c100596-g2
278	c100597-g1
208	c100597-g2
1014	c100598-g1
222	c100598-g2
333	c100599-g1
259	c100599-g2
254	c100600-g1
740	c100601-g1
385	c100602-g1
407	c100602-g2
2877	c100603-g1
2315	c100604-g1
224	c100605-g1
883	c100605-g2
993	c100606-g1
373	c100607-g1
222	c100608-g1
1451	c100608-g2
365	c100609-g1
931	c100610-g1
212	c100610-g2
3770	c100610-g3
1421	c100611-g1
226	c100611-g2
541	c100612-g1
203	c100612-g2
1073	c100613-g1
1886	c100614-g1
591	c100615-g1
274	c100615-g2
258	c100615-g3
250	c100616-g1
558	c100616-g2
905	c100616-g3
262	c100617-g1
1160	c100617-g2
1685	c100618-g1
1358	c100619-g1
2090	c100620-g1
1148	c100621-g1
643	c100622-g1
5888	c100623-g1
1750	c100624-g1
1167	c100624-g2
207	c100625-g1
383	c100625-g2
2028	c100626-g1
312	c100627-g1
283	c100627-g2
229	c100627-g3
2397	c100629-g1
262	c10062-g1
486	c100630-g1
662	c100631-g1
2802	c100632-g1
614	c100633-g1
916	c100634-g1
1037	c100634-g2
509	c100635-g1
688	c100635-g2
889	c100636-g1
895	c100637-g1
1035	c100637-g2
590	c100638-g1
1850	c100638-g2
1327	c100638-g3
1073	c100639-g1
6561	c100639-g2
1506	c100640-g1
283	c100641-g1
207	c100641-g2
1500	c100641-g3
980	c100641-g4
425	c100642-g1
584	c100642-g2
237	c100642-g3
594	c100643-g1
385	c100643-g2
736	c100644-g1
530	c100644-g2
619	c100644-g3
953	c100645-g1
761	c100646-g1
842	c100647-g1
1272	c100648-g1
1951	c100649-g1
1074	c100650-g1
213	c100651-g1
306	c100651-g2
5748	c100652-g1
1191	c100653-g1
1883	c100654-g1
9068	c100655-g1
3372	c100656-g1
647	c100657-g1
319	c100657-g2
358	c100658-g1
247	c100658-g2
239	c100659-g1
272	c100659-g2
727	c100660-g1
1074	c100661-g1
323	c100662-g1
256	c100662-g2
960	c100664-g1
204	c100665-g1
2261	c100665-g2
878	c100666-g1
2839	c100667-g1
898	c100668-g1
774	c100669-g1
4218	c100670-g1
2443	c100672-g1
278	c100673-g1
908	c100673-g2
1498	c100673-g3
3040	c100673-g4
1232	c100673-g6
673	c100674-g1
1958	c100674-g2
793	c100675-g1
995	c100676-g1
275	c100676-g2
339	c100676-g3
419	c100677-g1
2017	c100678-g1
636	c100678-g2
518	c100678-g3
1334	c100679-g1
677	c100679-g2
1306	c100680-g1
1143	c100681-g1
2014	c100682-g1
258	c100682-g2
1284	c100683-g1
1814	c100684-g1
605	c100685-g1
1038	c100686-g1
2567	c100686-g2
568	c100687-g1
277	c100687-g2
715	c100688-g1
275	c100689-g1
302	c100689-g2
225	c100690-g1
689	c100691-g1
1148	c100692-g1
216	c100693-g1
560	c100693-g2
458	c100693-g3
1513	c100694-g1
2136	c100695-g1
1271	c100696-g1
693	c100696-g2
374	c100696-g3
732	c100697-g1
557	c100697-g2
2720	c100698-g1
2561	c100699-g1
757	c100700-g1
284	c100700-g2
1059	c100701-g1
3104	c100702-g1
1663	c100703-g1
1000	c100703-g2
1075	c100703-g3
220	c100704-g1
1192	c100704-g2
825	c100705-g1
653	c100706-g1
535	c100707-g1
484	c100707-g2
560	c100707-g3
250	c100707-g4
300	c100707-g5
477	c100707-g6
5937	c100708-g1
1473	c100709-g1
244	c10070-g1
1217	c100710-g1
1943	c100711-g1
3417	c100712-g1
2243	c100713-g1
1410	c100714-g1
3060	c100715-g1
5156	c100716-g1
825	c100717-g1
954	c100717-g2
1189	c100717-g3
256	c100718-g1
209	c100718-g2
337	c100718-g3
318	c100718-g4
287	c100718-g5
303	c100718-g6
1632	c100719-g1
505	c100720-g1
4179	c100720-g2
837	c100721-g1
7126	c100722-g1
319	c100722-g2
2490	c100723-g1
1292	c100724-g1
272	c100724-g2
2174	c100724-g3
3237	c100725-g1
291	c100725-g2
972	c100726-g1
1247	c100727-g1
800	c100728-g1
1779	c100729-g1
722	c100729-g2
747	c100730-g1
277	c100731-g1
3986	c100731-g2
494	c100731-g3
257	c100731-g6
685	c100732-g1
5044	c100733-g1
2994	c100734-g1
493	c100735-g1
715	c100735-g2
1551	c100736-g1
591	c100737-g1
209	c100738-g1
254	c100738-g2
314	c100739-g1
274	c100739-g2
205	c100739-g3
2485	c100740-g1
722	c100741-g1
7761	c100742-g1
2938	c100742-g2
707	c100743-g1
214	c100744-g1
264	c100744-g2
202	c100744-g3
201	c100744-g4
2311	c100745-g1
631	c100746-g1
426	c100747-g1
1620	c100748-g1
1404	c100749-g1
1937	c100750-g1
473	c100751-g1
205	c100751-g2
24690	c100752-g1
662	c100752-g2
695	c100752-g5
634	c100753-g1
2227	c100754-g1
943	c100755-g1
2755	c100756-g1
763	c100757-g1
1877	c100758-g1
1665	c100759-g1
991	c100760-g1
1886	c100761-g1
1058	c100762-g1
249	c100763-g1
1354	c100764-g1
1057	c100764-g2
829	c100765-g1
931	c100766-g1
588	c100767-g1
235	c100768-g1
856	c100769-g1
301	c100770-g1
893	c100770-g2
209	c100771-g1
252	c100771-g2
1293	c100772-g1
1937	c100773-g1
1318	c100773-g2
683	c100773-g3
669	c100774-g1
1735	c100775-g1
1318	c100775-g2
927	c100776-g1
1427	c100777-g1
2373	c100778-g1
742	c100779-g1
1259	c100780-g1
704	c100781-g1
1279	c100782-g1
832	c100783-g1
1697	c100784-g1
741	c100784-g2
434	c100784-g3
876	c100785-g1
1530	c100786-g1
514	c100787-g1
477	c100787-g2
244	c100787-g3
243	c100787-g4
1487	c100788-g1
1234	c100789-g1
231	c100790-g1
811	c100790-g2
954	c100791-g1
1443	c100792-g1
258	c100793-g1
1077	c100793-g2
2289	c100794-g1
3910	c100795-g1
336	c100797-g1
630	c100797-g2
1264	c100798-g1
425	c100799-g1
1393	c100800-g1
1807	c100801-g1
256	c100802-g1
211	c100802-g2
323	c100802-g3
2258	c100803-g1
392	c100804-g1
234	c100804-g2
296	c100804-g3
962	c100805-g1
938	c100806-g1
2465	c100807-g1
468	c100808-g1
801	c100809-g1
361	c100809-g2
2126	c100810-g1
782	c100810-g2
328	c100810-g3
667	c100811-g1
1193	c100812-g1
617	c100813-g1
733	c100814-g1
679	c100815-g1
904	c100816-g1
1470	c100817-g1
1985	c100818-g1
1568	c100819-g1
308	c100820-g1
2015	c100821-g1
1035	c100822-g1
1265	c100823-g1
208	c100824-g1
890	c100824-g2
1524	c100826-g1
2698	c100827-g1
837	c100827-g2
283	c100828-g1
238	c100828-g2
343	c100829-g1
263	c100829-g2
323	c100829-g3
397	c100829-g4
622	c100829-g5
1440	c100830-g1
335	c100830-g2
1160	c100831-g1
258	c100832-g1
1359	c100833-g1
1205	c100834-g1
377	c100835-g1
1567	c100836-g1
1663	c100837-g1
3064	c100838-g1
286	c100839-g1
246	c100839-g2
1315	c100840-g1
1253	c100841-g1
2814	c100842-g1
391	c100843-g1
320	c100844-g1
309	c100844-g2
421	c100845-g1
1295	c100846-g1
622	c100847-g1
1830	c100848-g1
2622	c100849-g1
1404	c100850-g1
1445	c100851-g1
286	c100852-g2
287	c100853-g1
1518	c100853-g2
622	c100853-g3
821	c100854-g1
5157	c100856-g1
3218	c100857-g1
837	c100858-g1
230	c100859-g1
247	c100860-g1
1226	c100861-g1
460	c100862-g1
296	c100862-g2
311	c100862-g3
255	c100862-g4
363	c100862-g5
1192	c100863-g1
313	c100863-g2
507	c100864-g1
1225	c100865-g1
873	c100866-g1
2408	c100867-g1
368	c100867-g2
245	c100868-g1
1263	c100869-g1
1698	c100870-g1
206	c100870-g2
671	c100870-g3
769	c100870-g4
378	c100871-g1
275	c100871-g2
630	c100871-g3
2126	c100872-g1
891	c100873-g1
2295	c100874-g1
439	c100875-g1
288	c100875-g2
660	c100876-g1
1452	c100877-g1
323	c100878-g1
1704	c100878-g2
2492	c100878-g3
1144	c100879-g1
1488	c100879-g2
358	c100881-g1
281	c100881-g2
925	c100882-g1
407	c100883-g1
1140	c100884-g1
1351	c100884-g2
1464	c100885-g1
941	c100886-g1
1303	c100887-g1
848	c100888-g1
275	c100889-g1
728	c100889-g2
921	c100890-g1
1672	c100891-g1
1165	c100892-g1
1651	c100893-g1
368	c100894-g1
378	c100894-g2
3225	c100895-g1
516	c100896-g1
714	c100897-g1
1701	c100898-g1
648	c100898-g2
1193	c100898-g3
894	c100899-g1
1304	c100900-g1
349	c100901-g1
206	c100901-g2
223	c100901-g3
613	c100902-g1
231	c100903-g1
202	c100903-g2
238	c100903-g3
300	c100903-g4
339	c100903-g5
218	c100903-g6
268	c100903-g7
227	c100904-g1
907	c100904-g2
536	c100904-g3
1280	c100905-g1
235	c100906-g1
2461	c100906-g2
1037	c100907-g1
207	c100908-g1
1029	c100908-g2
2233	c100908-g3
280	c100908-g4
620	c100909-g1
477	c100909-g2
842	c100910-g1
309	c100912-g1
221	c100912-g2
513	c100912-g3
202	c100912-g4
356	c100912-g5
5236	c100913-g1
3226	c100914-g1
2328	c100915-g1
414	c100916-g1
243	c100917-g1
917	c100917-g2
712	c100918-g1
215	c100919-g1
1879	c100919-g2
1533	c100920-g1
387	c100920-g2
554	c100921-g1
785	c100921-g2
430	c100921-g3
326	c100921-g4
971	c100922-g1
1050	c100922-g2
2160	c100922-g3
1794	c100923-g1
1598	c100924-g1
335	c100925-g1
634	c100925-g2
638	c100926-g1
3151	c100927-g1
1061	c100930-g1
5834	c100931-g1
713	c100933-g1
233	c100933-g2
2663	c100934-g1
3210	c100935-g1
412	c100937-g1
259	c100937-g2
5657	c100938-g1
937	c100939-g1
2112	c100940-g1
1247	c100941-g1
726	c100942-g1
1021	c100942-g2
3261	c100943-g1
800	c100944-g1
2363	c100945-g1
989	c100946-g1
2045	c100947-g1
1246	c100948-g1
1079	c100949-g1
241	c100950-g1
282	c100950-g2
1340	c100951-g1
212	c100951-g2
271	c100951-g3
321	c100952-g1
1510	c100953-g1
566	c100953-g2
1128	c100954-g1
922	c100955-g1
3033	c100956-g1
844	c100956-g2
1135	c100957-g1
1633	c100958-g1
576	c100958-g2
422	c100959-g1
1029	c100960-g1
3394	c100961-g1
1084	c100962-g1
2049	c100962-g2
2068	c100964-g1
1360	c100964-g2
428	c100965-g1
869	c100966-g1
458	c100966-g2
967	c100967-g1
236	c100968-g1
686	c100968-g2
1153	c100968-g3
680	c100969-g1
983	c100970-g1
437	c100970-g2
321	c100971-g1
710	c100971-g2
332	c100971-g3
548	c100973-g1
374	c100973-g2
604	c100974-g1
1299	c100975-g1
540	c100975-g2
206	c100975-g3
254	c100975-g4
1131	c100976-g1
4726	c100977-g1
1165	c100978-g1
269	c100978-g2
311	c100979-g1
1518	c100980-g1
1574	c100981-g1
632	c100981-g2
879	c100982-g1
389	c100983-g1
338	c100983-g2
1539	c100984-g1
1195	c100985-g1
1339	c100986-g1
831	c100987-g1
774	c100988-g1
844	c100989-g1
828	c100990-g1
4090	c100991-g1
720	c100992-g1
1019	c100993-g1
675	c100993-g2
1075	c100994-g1
1350	c100995-g1
379	c100996-g1
398	c100996-g2
808	c100997-g1
1489	c100998-g1
2042	c100999-g1
226	c100999-g2
202	c100-g1
615	c101000-g1
255	c101000-g2
237	c101000-g3
967	c101001-g1
579	c101001-g2
241	c101001-g3
1742	c101002-g1
1461	c101003-g1
1300	c101004-g1
3151	c101005-g1
1009	c101006-g1
308	c101006-g2
941	c101007-g1
1191	c101008-g1
250	c101008-g2
880	c101009-g1
400	c101009-g2
2418	c101010-g1
2378	c101011-g1
3587	c101012-g1
880	c101013-g1
242	c101014-g1
1411	c101014-g2
973	c101015-g1
225	c101016-g1
1568	c101017-g1
252	c101017-g2
280	c101018-g1
3388	c101018-g2
519	c101018-g3
931	c101018-g4
694	c101018-g6
299	c101018-g7
1112	c101018-g8
650	c101019-g1
3042	c101021-g1
275	c101022-g1
